"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60011","2020-01-20 15:35:00","TC432-2351-1","G1M05820200111008TC432-2351-1   FG 20200111 15JA11TC43223511     20200111008","811TC432235112001210002"
"60011","2020-01-20 15:36:33","TC822-1472-2","G1M02520191224902TC822-1472-2   FG 20191224 20IL24TC82214722     20191224902","811TC822147222001210003"
"60011","2020-01-20 15:52:56","1060A217","GAK1A024202001150011060A217                 20200115     2JA151060A217G                2020011500151090","1060A217"
"60011","2020-01-20 16:18:22","1064A035","GAK1A006202001140011064A035                 20200114     5JA141064A035X                2020011400151032","1064A035X"
"60011","2020-01-20 16:19:53","1125A218","GAK1M136201912230011125A218                 20191223    45IL231125A218                 2019122300151006","1125A218"
"60011","2020-01-20 16:23:25","1130A228","GAK1M136202001139011130A228                 20200113    15JA131130A228G                2020011390151010","1130A228"
"60017","2020-01-21 16:44:04","1050B375","GD51000910571050B375                 L408700000086400000024032","1050B375"
"60017","2020-01-21 16:44:13","1050B375","GD51000909031050B375                 L408700000086400000024028","1050B375"
"60017","2020-01-21 16:49:04","1130A228","GAK1M136202001139011130A228                 20200113    15JA131130A228G                2020011390151012","1130A228"
"60016","2020-01-22 01:42:13","898243-2260","GAK1M08820200117001898243-2260              20200117    15JA178982432260               2020011700151018","FYK1404372013000015000015202001228982432260COVER ASM;T/CHAITBKK  1A     "
"60016","2020-01-22 01:42:19","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151022","DFK1401577001000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:35","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251019","DFK1401577002000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:39","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251020","DFK1401577003000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:42","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251025","DFK1401577004000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:44","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251011","DFK1401577005000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:48","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251010","DFK1401577010000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:51","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251016","DFK1401577009000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:53","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251005","DFK1401577008000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:56","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251001","DFK1401577007000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:42:58","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251024","DFK1401577006000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:01","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151021","DFK1401577011000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:03","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251018","DFK1401577012000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:05","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251015","DFK1401577013000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:09","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251009","DFK1401577014000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:12","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251031","DFK1401577015000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:23","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151016","DFK1401577016000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:28","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151011","FKK1401629001000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:30","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151024","FKK1401629002000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:32","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151025","FKK1401629003000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:34","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151002","FKK1401629004000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:36","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151004","FKK1401629009000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:39","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151010","FKK1401629008000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:42","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151003","FKK1401629007000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:46","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151003","FKK1401629006000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:48","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151012","FKK1401629005000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:51","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251032","FKK1401629014000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:54","898351-8040","GAK1M12020200118002898351-8040              20200117    15JA178983518040               2020011800251032","FKK1401629013000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:43:58","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151005","FKK1401629012000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:07","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151005","FKK1401629012000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
"60016","2020-01-22 01:44:10","898351-8040","GAK1M12020200118901898351-8040              20200118    15JA188983518040               2020011890151001","FKK1401629011000015000015202001228983518040GEAR;INJ PUMP   TBKK  1S     "
