"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60012","2019-11-04 12:13:42","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151066","DFJO402007016000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:13:44","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151008","DFJO402007017000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:13:48","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151065","DFJO402007018000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:13:51","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151064","DFJO402007019000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:13:54","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151006","DFJO402007020000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:00","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151011","DFJO402007011000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:02","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151013","DFJO402007012000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:09","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151014","DFJO402007013000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:11","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151015","DFJO402007014000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:14","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151016","DFJO402007015000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:18","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151022","DFJO402007006000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:21","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151023","DFJO402007007000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:24","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151024","DFJO402007008000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:26","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151009","DFJO402007009000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:29","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151010","DFJO402007010000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:36","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151012","DFJO402007001000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:38","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151001","DFJO402007002000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:39","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151002","DFJO402007003000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:42","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151005","DFJO402007004000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:44","898382-8360","GAK1A01720191028901898382-8360              20191028     5IJ288983828360               2019102890151007","DFJO402007005000005000005201911048983828360PUMP ASM;WATER  TBKK  1S     "
"60012","2019-11-04 12:14:48","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151048","DFJO401995031000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:14:50","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151033","DFJO401995032000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:14:54","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151034","DFJO401995033000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:14:57","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151035","DFJO401995034000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:00","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151037","DFJO401995035000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:03","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151044","DFJO401995036000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:05","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151039","DFJO401995037000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:10","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151040","DFJO401995038000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:12","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151029","DFJO401995039000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:15","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151030","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151030"
"60012","2019-11-04 12:15:18","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151057","DFJO401995020000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:20","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151045","DFJO401995019000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:24","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151046","DFJO401995018000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:26","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151047","DFJO401995017000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:28","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151036","DFJO401995016000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:31","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151050","DFJO401995021000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:35","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151051","DFJO401995022000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:43","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151052","DFJO401995023000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:49","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151053","DFJO401995024000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:53","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151054","DFJO401995025000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:57","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151057","DFJO401995020000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:15:59","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151045","DFJO401995019000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:02","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151046","DFJO401995018000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:05","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151047","DFJO401995017000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:07","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151036","DFJO401995016000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:11","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151089","DFJO401995011000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:14","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151038","DFJO401995012000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:18","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151084","DFJO401995013000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:21","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151087","DFJO401995015000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:28","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151083","DFJO401995006000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:31","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151092","DFJO401995007000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:33","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151090","DFJO401995008000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:35","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151067","DFJO401995009000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:38","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151063","DFJO401995010000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:43","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151077","DFJO401995001000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:45","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151078","DFJO401995002000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:48","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151079","DFJO401995003000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:51","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151080","DFJO401995004000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:53","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151073","DFJO401995005000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:16:56","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151086","DFJO401995026000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:17:00","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151085","DFJO401995027000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:17:05","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151082","DFJO401995028000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:17:07","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151081","DFJO401995029000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:17:09","897529-9420","GAK1A02620191029001897529-9420              20191029     5IJ298975299420               2019102900151091","DFJO401995030000005000005201911048975299420PUMP ASM;OIL    TBKK  1S     "
"60012","2019-11-04 12:17:12","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151086","FYJO410293026000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:15","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151093","FYJO410293027000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:18","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151084","FYJO410293028000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:20","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151092","FYJO410293029000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:22","897312-1474","GAK1A01720191024901897312-1474              20191024     6IJ248973121474               2019102490151012","FYJO410293030000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:25","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151100","FYJO410293021000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
"60012","2019-11-04 12:17:30","897312-1474","GAK1A01720191024001897312-1474              20191024     6IJ248973121474               2019102400151067","FYJO410293022000006000006201911048973121474PUMP ASM;WATER(4TBKK  1A     "
