"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2"
"60017","2019-11-05 08:48:27","1300A126","GEK1A023           1300A126                 20191101     2IK011300A126G                        00151899","1300A126G"
"60017","2019-11-05 08:48:30","1300A126","GAK1A023201910319011300A126                 20191031     4IJ311300A126G                2019103190151012","1300A126G"
"60017","2019-11-05 08:48:33","1300A126","GAK1A023201910319011300A126                 20191031     4IJ311300A126G                2019103190151003","1300A126G"
"60017","2019-11-05 08:48:36","1300A126","GAK1A023201911010011300A126                 20191101     4IK011300A126G                2019110100151084","1300A126G"
"60017","2019-11-05 08:48:41","1300A126","GAK1A023201911010011300A126                 20191101     4IK011300A126G                2019110100151070","1300A126G"
"60017","2019-11-05 08:48:45","1300A126","GAK1A023201911010011300A126                 20191101     4IK011300A126G                2019110100151074","1300A126G"
"60017","2019-11-05 08:48:49","1300A126","GAK1A023201911010011300A126                 20191101     4IK011300A126G                2019110100151071","1300A126G"
"60017","2019-11-05 08:48:54","1300A126","GAK1A023201911010011300A126                 20191101     4IK011300A126G                2019110100151079","1300A126G"
"60017","2019-11-05 08:48:59","0","30","GAK1PL01201911010051050B375-LP              20191102    24IK021050B375G                2019110100251004"
"60017","2019-11-05 08:49:09","1320A047","GAK1A003201910309011320A047                 20191030    10IJ301320A047G                2019103090151062","1320A047G"
"60017","2019-11-05 08:49:14","1320A047","GAK1A003201910309011320A047                 20191030    10IJ301320A047G                2019103090151064","1320A047G"
"60017","2019-11-05 08:49:17","1320A047","GAK1A003201910310021320A047                 20191031    10IJ311320A047G                2019103100251033","1320A047G"
"60017","2019-11-05 08:49:19","1132A100","GEK1M076           1132A100                 20191031     6IJ311132A100G                        90151903","1132A100G"
"60017","2019-11-05 08:49:22","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151020","1132A100G"
"60017","2019-11-05 08:49:25","1132A100","GAK1M076201910319011132A100                 20191031    12IJ311132A100G                2019103190151016","1132A100G"
"60017","2019-11-05 08:49:29","1130A230","GEK1M120           1130A230                 20191030     6IJ301130A230G                        90151900","1130A230G"
"60017","2019-11-05 08:49:31","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151046","1130A230G"
"60017","2019-11-05 08:49:33","1130A230","GAK1M120201910309011130A230                 20191030    12IJ301130A230G                2019103090151045","1130A230G"
"60017","2019-11-05 08:49:36","1130A228","GAK1M136201910299011130A228                 20191029    15IJ291130A228G                2019102990151001","1130A228G"
"60017","2019-11-05 08:49:39","1130A228","GAK1M136201910299011130A228                 20191029    15IJ291130A228G                2019102990151006","1130A228G"
"60017","2019-11-05 08:49:45","1060A217","GAK1A024201911010011060A217                 20191101     2IK011060A217G                2019110100151082","1060A217G"
