"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 10:13:13","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251023","AHK1000235009000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251023"
"60017","2020-02-01 10:13:16","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251022","AHK1000235008000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251022"
"60017","2020-02-01 10:13:20","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251018","AHK1000235007000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251018"
"60017","2020-02-01 10:13:32","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251007","AHK1000235012000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251007"
"60017","2020-02-01 10:13:36","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251034","AHK1000235011000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251034"
"60017","2020-02-01 10:13:39","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251035","AHK1000235010000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251035"
"60017","2020-02-01 10:13:47","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251029","AHK1000235003000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251029"
"60017","2020-02-01 10:13:50","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251036","AHK1000235002000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251036"
"60017","2020-02-01 10:13:52","898351-8350","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251041","AHK1000235001000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122002898351-8350              20200122     5JA228983518350               2020012200251041"
"60017","2020-02-01 10:13:57","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251019","AHK1000235006000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251019"
"60017","2020-02-01 10:14:00","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251020","AHK1000235005000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251020"
"60017","2020-02-01 10:14:05","898351-8350","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251024","AHK1000235004000005000005202002018983518350PUMP ASM;OIL    TBKK  PSV    ","GAK1A02620200122902898351-8350              20200123     5JA238983518350               2020012290251024"
"60017","2020-02-01 10:14:24","898351-8020","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151019","DFK1403233010000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200128001898351-8020              20200128    15JA288983518020               2020012800151019"
"60017","2020-02-01 10:14:27","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151003","DFK1403233011000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151003"
"60017","2020-02-01 10:14:30","898351-8020","G1M11820200128001898351-8020    FG 20200128 15JA288983518020     20200128001","DFK1403233012000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","G1M11820200128001898351-8020    FG 20200128 15JA288983518020     20200128001"
"60017","2020-02-01 10:14:34","898351-8020","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151011","FKK1403110002000015000015202002018983518020GEAR;CRANKSHAFT TBKK  1S     ","GAK1M11820200129001898351-8020              20200129    15JA298983518020               2020012900151011"
