"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2020-01-08","1:Firm","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","SSAWD045","2020-01-08","2020-01-16","2020-01-17","00:00:00","2020/01/17","01","40","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-04-22","2020-04-23","00:00:00","","04","180","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-05-13","2020-05-14","00:00:00","","05","160","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-03-23","2020-03-24","00:00:00","","03","100","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-01-22","2020-01-23","00:00:00","","01","100","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-04-13","2020-04-14","00:00:00","","04","160","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-02-04","2020-02-05","00:00:00","","02","100","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-03-10","2020-03-11","00:00:00","","03","100","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-05-08","2020-05-11","00:00:00","","05","160","0"
"2020-01-08","1:Firm","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","SSAWD045","2020-01-08","2020-01-09","2020-01-10","00:00:00","2020/01/10","01","120","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-05-27","2020-05-28","00:00:00","","05","160","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-05-01","2020-05-04","00:00:00","","05","160","0"
"2020-01-08","2:Daily forecast","D20170","GKN","10297584","10297584","CASE-SET,DIFF","NISSAN 72","","2020-01-08","2020-01-27","2020-01-28","00:00:00","","01","120","0"
