"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-31","2019-06-03","00:00:00","","41","0"
"2019-02-24","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-13","2019-03-14","00:00:00","","60","0"
"2019-02-24","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-31","2019-06-03","00:00:00","","720","0"
"2019-02-24","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-13","2019-03-14","00:00:00","","696","0"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-13","2019-05-14","00:00:00","","30","0"
"2019-02-24","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-13","2019-05-14","00:00:00","","584","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","31M9BB9823","2019-02-23","2019-03-08","2019-03-09","00:00:00","2019/03/09","216","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","31M9BB9820","2019-02-23","2019-03-08","2019-03-09","00:00:00","2019/03/09","168","0"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-09","2019-05-10","00:00:00","","30","0"
"2019-02-24","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-09","2019-05-10","00:00:00","","585","0"
"2019-02-24","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-22","2019-03-25","00:00:00","","90","0"
"2019-02-24","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-22","2019-03-25","00:00:00","","624","0"
"2019-02-24","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-20","2019-03-21","00:00:00","","60","0"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-04-27","2019-04-29","00:00:00","","18","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","23M9BA2227","2019-02-13","2019-02-20","2019-02-21","05:00:00","2019/02/21","192","192"
"2019-02-24","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-03-20","2019-03-21","00:00:00","","624","0"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-04-03","2019-04-04","00:00:00","","26","0"
"2019-02-24","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-04-27","2019-04-29","00:00:00","","674","0"
"2019-02-24","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-05-07","2019-05-08","00:00:00","","30","0"
"2019-02-24","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","23M9BA2238","2019-02-13","2019-02-20","2019-02-21","00:00:00","2019/02/21","288","288"
"2019-02-24","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-23","2019-04-03","2019-04-04","00:00:00","","589","0"
