"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-09-06","1:Firm","D20220","MMTH-Free Zone","1050B375G","1050B375-LP","SLEEVE","SU-4N15","92M9025666","2019-09-06","2019-09-10","2019-09-11","00:00:00","2019/09/11","09","90","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","92M9BH0937","2019-09-06","2019-09-10","2019-09-11","00:00:00","2019/09/11","09","264","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2076","2019-09-06","2019-09-06","2019-09-06","00:00:00","2019/09/06","09","264","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","92M9BH0933","2019-09-06","2019-09-10","2019-09-11","00:00:00","2019/09/11","09","168","0"
"2019-09-06","10:Total forecast","D20220","MMTH-Free Zone","1050B375G","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-11-07","2019-11-08","00:00:00","","11","46","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2075","2019-09-06","2019-09-06","2019-09-06","00:00:00","2019/09/06","09","192","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","92M9BH0935","2019-09-06","2019-09-10","2019-09-11","00:00:00","2019/09/11","09","264","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2084","2019-09-06","2019-09-06","2019-09-09","00:00:00","2019/09/09","09","288","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","92M9BH0936","2019-09-06","2019-09-10","2019-09-11","00:00:00","2019/09/11","09","192","0"
"2019-09-06","10:Total forecast","D20220","MMTH-Free Zone","1050B375G","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-11-04","2019-11-05","00:00:00","","11","46","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2079","2019-09-06","2019-09-06","2019-09-09","00:00:00","2019/09/09","09","192","0"
"2019-09-06","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-11-04","2019-11-05","00:00:00","","11","526","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2081","2019-09-06","2019-09-06","2019-09-09","00:00:00","2019/09/09","09","264","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2082","2019-09-06","2019-09-06","2019-09-09","00:00:00","2019/09/09","09","168","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2062","2019-08-23","2019-09-03","2019-09-04","19:00:00","2019/09/04","09","168","168"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2050","2019-08-23","2019-08-30","2019-09-02","19:00:00","2019/09/02","09","192","192"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2060","2019-08-23","2019-09-03","2019-09-04","13:00:00","2019/09/04","09","288","288"
"2019-09-06","2:Daily forecast","D20220","MMTH-Free Zone","1050B375G","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-09-17","2019-09-18","00:00:00","","09","30","0"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2049","2019-08-23","2019-08-30","2019-09-02","13:00:00","2019/09/02","09","240","240"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","91M9BG2059","2019-08-23","2019-09-03","2019-09-04","05:00:00","2019/09/04","09","192","192"
"2019-09-06","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","92M9BH0962","2019-09-06","2019-09-17","2019-09-18","00:00:00","2019/09/18","09","264","0"
"2019-09-06","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-10-09","2019-10-10","00:00:00","","10","720","0"
"2019-09-06","10:Total forecast","D20220","MMTH-Free Zone","1050B375G","1050B375-LP","SLEEVE","SU-4N15","","2019-09-06","2019-11-19","2019-11-20","00:00:00","","11","46","0"
