"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-01","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92109873D","2019-03-01","2019-04-05","2019-04-08","00:00:00","2019/04/08","04","2","0"
"2019-03-01","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92051763D","2019-03-01","2019-03-27","2019-03-28","00:00:00","2019/03/28","03","1","0"
"2019-03-02","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92051763D","2019-03-01","2019-03-14","2019-03-15","00:00:00","2019/03/28","03","1","0"
"2019-03-02","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92109873D","2019-03-01","2019-03-21","2019-03-22","00:00:00","2019/04/08","03","2","0"
"2019-03-02","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-03","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92051763D","2019-03-01","2019-03-14","2019-03-15","00:00:00","2019/03/28","03","1","0"
"2019-03-03","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92109873D","2019-03-01","2019-03-21","2019-03-22","00:00:00","2019/04/08","03","2","0"
"2019-03-03","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-04","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92051763D","2019-03-04","2019-03-14","2019-03-15","00:00:00","2019/03/28","03","1","0"
"2019-03-04","1:Firm","D20230","MMCH","1050B375","1050B375-SP","SLEEVE","4N15 (SU)","L92109873D","2019-03-04","2019-03-21","2019-03-22","00:00:00","2019/04/08","03","2","0"
