"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-07-01","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-01","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-01","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-01","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-01","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-01","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-02","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-02","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-02","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-02","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-02","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-02","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-03","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-03","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-03","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-03","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-03","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-03","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-04","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-04","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-04","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-04","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-04","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-04","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-05","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-05","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-05","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-05","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-06","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-05","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-06","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-06","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-07","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-07","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-05","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-07","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-05","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-08","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-08","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-08","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-08","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-08","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-08","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-09","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-09","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-09","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-09","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-09","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-09","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-10","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-10","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","125","0"
"2019-07-10","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-10","2019-08-01","2019-08-02","00:00:00","2019/08/29","08","6","0"
"2019-07-10","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-10","2019-08-30","2019-09-01","00:00:00","","09","138","0"
"2019-07-11","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-11","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","125","0"
"2019-07-11","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-11","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","6","0"
"2019-07-11","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-11","2019-09-27","2019-10-01","00:00:00","","10","144","0"
"2019-07-11","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-11","2019-08-09","2019-08-11","00:00:00","","08","48","0"
"2019-07-11","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-11","2019-08-30","2019-09-01","00:00:00","","09","144","0"
"2019-07-11","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-11","2019-07-31","2019-08-01","00:00:00","","08","48","0"
"2019-07-11","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-11","2019-08-20","2019-08-21","00:00:00","","08","48","0"
"2019-07-12","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","125","0"
"2019-07-12","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","6","0"
"2019-07-12","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-20","2019-08-21","00:00:00","","08","48","0"
"2019-07-12","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-09","2019-08-11","00:00:00","","08","48","0"
"2019-07-12","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-09-27","2019-10-01","00:00:00","","10","144","0"
"2019-07-12","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-30","2019-09-01","00:00:00","","09","144","0"
"2019-07-12","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-07-31","2019-08-01","00:00:00","","08","48","0"
"2019-07-13","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","125","0"
"2019-07-13","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","6","0"
"2019-07-13","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-20","2019-08-21","00:00:00","","08","48","0"
"2019-07-13","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-09-27","2019-10-01","00:00:00","","10","144","0"
"2019-07-13","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-09","2019-08-11","00:00:00","","08","48","0"
"2019-07-13","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-30","2019-09-01","00:00:00","","09","144","0"
"2019-07-13","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-07-31","2019-08-01","00:00:00","","08","48","0"
"2019-07-14","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118153D","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","125","0"
"2019-07-14","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L96118163E","2019-07-12","2019-07-25","2019-07-26","00:00:00","2019/08/29","07","6","0"
"2019-07-14","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-20","2019-08-21","00:00:00","","08","48","0"
"2019-07-14","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-09-27","2019-10-01","00:00:00","","10","144","0"
"2019-07-14","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-09","2019-08-11","00:00:00","","08","48","0"
"2019-07-14","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-07-12","2019-08-30","2019-09-01","00:00:00","","09","144","0"
