"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-09-01","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98103173E","2019-08-30","2019-09-19","2019-09-20","00:00:00","2019/11/12","09","2","0"
"2019-09-01","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98028703E","2019-08-30","2019-09-12","2019-09-13","00:00:00","2019/11/04","09","71","0"
"2019-09-01","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-08-30","2019-10-31","2019-11-01","00:00:00","","11","147","0"
"2019-09-01","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98164083E","2019-08-30","2019-10-03","2019-10-04","00:00:00","2019/11/21","10","10","0"
"2019-09-02","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98028703E","2019-09-02","2019-09-12","2019-09-13","00:00:00","2019/11/04","09","71","0"
"2019-09-02","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98164083E","2019-09-02","2019-10-03","2019-10-04","00:00:00","2019/11/21","10","10","0"
"2019-09-02","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-09-02","2019-10-31","2019-11-01","00:00:00","","11","147","0"
"2019-09-02","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98103173E","2019-09-02","2019-09-19","2019-09-20","00:00:00","2019/11/12","09","2","0"
"2019-09-03","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98164083E","2019-09-03","2019-10-03","2019-10-04","00:00:00","2019/11/21","10","10","0"
"2019-09-03","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98028703E","2019-09-03","2019-09-12","2019-09-13","00:00:00","2019/11/04","09","71","0"
"2019-09-03","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98103173E","2019-09-03","2019-09-19","2019-09-20","00:00:00","2019/11/12","09","2","0"
"2019-09-03","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-09-03","2019-10-31","2019-11-01","00:00:00","","11","147","0"
"2019-09-04","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98028703E","2019-09-04","2019-09-26","2019-09-27","00:00:00","2019/11/04","09","71","0"
"2019-09-04","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98103173E","2019-09-04","2019-09-19","2019-09-20","00:00:00","2019/11/12","09","2","0"
"2019-09-04","2:Daily forecast","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","","2019-09-04","2019-10-31","2019-11-01","00:00:00","","11","147","0"
"2019-09-04","1:Firm","D20230","MMCH","1300A057","1300A057-SP","PUMP ASSY;WATER","3E00 (4G6)","L98164083E","2019-09-04","2019-10-03","2019-10-04","00:00:00","2019/11/21","10","10","0"
