"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-03","2019-06-04","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-21","2019-06-24","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-27","2019-04-29","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-27","2019-04-29","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-13","2019-05-14","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-20","2019-05-21","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-13","2019-05-14","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-20","2019-05-21","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-23","2019-05-24","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-23","2019-05-24","00:00:00","","652","0"
"2019-02-01","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1320A047","1320A047","4N15","21S9386448","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/06","1","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-15","2019-02-18","00:00:00","","30","0"
"2019-02-01","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1320A047","1320A047","4N15","21S9391834","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","1","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-15","2019-02-20","00:00:00","","60","0"
"2019-02-01","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1320A047","1320A047","4N15","21S9385149","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","3","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-15","2019-02-16","00:00:00","","810","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-27","2019-05-28","00:00:00","","38","0"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","21M9027884","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","30","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-15","2019-02-18","00:00:00","","700","0"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","21M9027883","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","30","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-15","2019-02-20","00:00:00","","690","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1320A047","1320A047","4N15","21M9BJ8990","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","170","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-14","2019-06-17","00:00:00","","42","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1320A047","1320A047","4N15","21M9BJ8982","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","170","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-14","2019-06-17","00:00:00","","653","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1320A047","1320A047","4N15","21M9BJ8986","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","220","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1320A047","1320A047","4N15","21M9BJ8988","2019-01-31","2019-01-31","2019-02-01","00:00:00","2019/02/01","190","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-06","2019-06-07","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-06","2019-06-07","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-11","2019-06-12","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-26","2019-06-27","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-11","2019-06-12","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-06-26","2019-06-27","00:00:00","","652","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-20","2019-02-21","00:00:00","","30","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-02-20","2019-02-21","00:00:00","","710","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-03-06","2019-03-07","00:00:00","","64","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-03-06","2019-03-07","00:00:00","","557","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-30","2019-05-31","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-30","2019-05-31","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-03-20","2019-03-21","00:00:00","","69","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-03-20","2019-03-21","00:00:00","","684","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-03","2019-04-04","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-04-03","2019-04-04","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-16","2019-05-17","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-06","2019-05-07","00:00:00","","39","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1320A047","1320A047","4N15","","2019-01-31","2019-05-16","2019-05-17","00:00:00","","653","0"
