"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-01-31","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-01","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-01-31","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-02","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-01","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-03","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-02","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-04","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-04","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-05","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-05","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-05","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-05","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-06","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-06","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-06","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-06","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-07","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-07","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-07","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-07","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-08","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-08","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-08","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-08","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-09","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-08","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-09","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-08","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-10","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-08","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-10","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-08","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-11","2:Daily forecast","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","","2019-02-11","2019-03-12","2019-03-13","00:00:00","","03","336","0"
"2019-02-11","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-11","2019-02-14","2019-02-15","00:00:00","2019/02/15","02","600","0"
"2019-02-11","1:Firm","D21311","DATT-SP","16100-BZ051","16100-BZ051-ESP","PUMP ASSY  WATER","D46T (ALZA)","TBK-F-1902-PSSB","2019-02-11","2019-02-27","2019-02-28","00:00:00","2019/02/28","02","750","0"
