"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-31","2:Daily forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-04-03","2019-04-04","00:00:00","","04","224","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-07-02","2019-07-03","00:00:00","","07","126","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-17","2019-06-18","00:00:00","","06","146","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-05-16","2019-05-17","00:00:00","","05","165","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-13","2019-06-14","00:00:00","","06","146","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-07-23","2019-07-24","00:00:00","","07","125","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-24","2019-06-25","00:00:00","","06","145","0"
"2019-03-31","1:Firm","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","56102452","2019-02-27","2019-03-01","2019-03-04","00:00:00","2019/03/04","03","168","168"
"2019-03-31","1:Firm","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","56107733","2019-02-28","2019-03-04","2019-03-05","00:00:00","2019/03/05","03","280","280"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-07-16","2019-07-17","00:00:00","","07","125","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-26","2019-06-27","00:00:00","","06","145","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-05-20","2019-05-21","00:00:00","","05","165","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-05","2019-06-06","00:00:00","","06","146","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-07-09","2019-07-10","00:00:00","","07","125","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-05-10","2019-05-13","00:00:00","","05","165","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-06-28","2019-07-01","00:00:00","","07","126","0"
"2019-03-31","10:Total forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-07-04","2019-07-05","00:00:00","","07","126","0"
"2019-03-31","2:Daily forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-04-12","2019-04-19","00:00:00","","04","280","0"
"2019-03-31","2:Daily forecast","D20330","KET","1J86473032","1J864-73032","WATER PUMP ASSY","3 SERIES","","2019-03-30","2019-04-12","2019-04-20","00:00:00","","04","168","0"
