"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-11","2019-04-12","00:00:00","","04","246","0"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-24","2019-04-25","00:00:00","","04","753","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400128","2019-01-07","2019-01-10","2019-01-11","15:00:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400093","2019-01-07","2019-01-10","2019-01-11","15:00:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1400074","2019-01-07","2019-01-10","2019-01-11","10:00:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1400092","2019-01-07","2019-01-10","2019-01-11","10:00:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400127","2019-01-07","2019-01-10","2019-01-11","04:30:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1403065","2019-01-28","2019-01-29","2019-01-30","23:30:00","2019/01/30","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ1400260","2019-01-08","2019-01-10","2019-01-11","23:30:00","2019/01/11","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800382","2019-01-29","2019-01-29","2019-01-30","00:00:00","2019/01/30","01","1","1"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-04-04","2019-04-05","00:00:00","","04","735","0"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1600398","2019-01-09","2019-01-10","2019-01-11","00:00:00","2019/01/11","01","3","3"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800138","2019-01-17","2019-01-17","2019-01-18","00:00:00","2019/01/18","01","15","15"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402745","2019-01-25","2019-01-29","2019-01-30","23:30:00","2019/01/30","01","100","100"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ1800230","2019-01-17","2019-01-21","2019-01-22","00:00:00","2019/01/22","01","1","1"
"2019-01-31","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ1402744","2019-01-25","2019-01-29","2019-01-30","15:00:00","2019/01/30","01","100","100"
"2019-01-31","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-01-31","2019-03-28","2019-03-29","00:00:00","","03","645","0"
