"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-05-28","2019-05-29","00:00:00","","05","600","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-07-09","2019-07-10","00:00:00","","07","380","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-23","2019-09-24","00:00:00","","09","372","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-07-30","2019-07-31","00:00:00","","07","550","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FKJ5401339","2019-05-13","2019-05-13","2019-05-14","00:00:00","2019/05/14","05","200","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-17","2019-09-18","00:00:00","","09","372","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-14","2019-09-16","00:00:00","","09","371","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-12","2019-09-13","00:00:00","","09","371","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","DFJ5401256","2019-05-13","2019-05-15","2019-05-16","00:00:00","2019/05/16","05","200","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FKJ5401526","2019-05-13","2019-05-15","2019-05-16","00:00:00","2019/05/16","05","100","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FKJ5401527","2019-05-13","2019-05-15","2019-05-16","00:00:00","2019/05/16","05","100","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FBJ5401658","2019-05-13","2019-05-15","2019-05-16","00:00:00","2019/05/16","05","100","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","DFJ4600186","2019-05-02","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","8","8"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FKJ5401528","2019-05-13","2019-05-15","2019-05-16","00:00:00","2019/05/16","05","200","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FBJ4800251","2019-04-30","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","30","30"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-08-09","2019-08-13","00:00:00","","08","370","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","FBJ4800250","2019-04-30","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","1","1"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-12","2019-06-13","00:00:00","","06","400","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","DFJ4800193","2019-04-29","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","200","200"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-10","2019-09-11","00:00:00","","09","371","0"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","DFJ4800192","2019-04-29","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","100","100"
"2019-05-13","1:Firm","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","DFJ4800191","2019-04-29","2019-05-02","2019-05-03","00:00:00","2019/05/03","05","200","200"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-19","2019-06-20","00:00:00","","06","120","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-19","2019-06-20","00:00:00","","06","100","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-19","2019-06-20","00:00:00","","06","120","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-03","2019-06-04","00:00:00","","06","600","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-19","2019-06-20","00:00:00","","06","80","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-06","2019-06-07","00:00:00","","06","900","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-17","2019-06-18","00:00:00","","06","120","0"
"2019-05-13","10:Total forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-06-17","2019-06-18","00:00:00","","06","100","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-08-26","2019-08-27","00:00:00","","08","370","0"
"2019-05-13","2:Daily forecast","D20110","IEMT","8975299420","897529-9420","PUMP ASSY OIL","ES20","","2019-05-13","2019-09-02","2019-09-03","00:00:00","","09","371","0"
