"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-01","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-01","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-01","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-01","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-02","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-01","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-02","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-01","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-03","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-01","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-03","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-01","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-04","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-04","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-04","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-04","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-05","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-05","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-05","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-05","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-06","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-06","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-06","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-06","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-07","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-07","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-07","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-07","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-08","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-08","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-08","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-08","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-08","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2B219600","2019-03-08","2019-04-02","2019-04-03","00:00:00","2019/04/03","10","0"
"2019-03-09","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-09","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-09","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2B219600","2019-03-09","2019-04-02","2019-04-03","00:00:00","2019/04/03","10","0"
"2019-03-09","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-09","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-10","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2B219600","2019-03-09","2019-04-02","2019-04-03","00:00:00","2019/04/03","10","0"
"2019-03-10","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-09","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-10","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-09","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
"2019-03-11","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2B219600","2019-03-11","2019-04-02","2019-04-03","00:00:00","2019/04/03","10","0"
"2019-03-11","2:Daily forecast","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","","2019-03-11","2019-06-07","2019-06-10","00:00:00","","10","0"
"2019-03-11","1:Firm","D20130","IMCT","8979444300","897944-4300-SP","4JB1T","1K2A204600","2019-03-11","2019-03-19","2019-03-20","00:00:00","2019/03/20","10","0"
