"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-04-12","2019-04-15","00:00:00","","1185","0"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-05-02","2019-05-03","00:00:00","","555","0"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-04-12","2019-04-22","00:00:00","","400","0"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-03-19","2019-03-20","00:00:00","","72","0"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-04-26","2019-04-27","00:00:00","","400","0"
"2019-02-15","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-05-06","2019-05-07","00:00:00","","585","0"
"2019-02-15","1:Firm","D20110","IEMT","8982319070","898231-9070","EJ40","FYJ2402729","2019-02-15","2019-02-15","2019-02-16","00:00:00","2019/02/16","120","0"
"2019-02-15","1:Firm","D20110","IEMT","8982319070","898231-9070","EJ40","FYJ2403576","2019-02-15","2019-02-15","2019-02-18","00:00:00","2019/02/18","210","0"
"2019-02-15","1:Firm","D20110","IEMT","8982319070","898231-9070","EJ40","FYJ2403577","2019-02-15","2019-02-15","2019-02-19","00:00:00","2019/02/19","90","0"
"2019-02-15","1:Firm","D20110","IEMT","8982319070","898231-9070","EJ40","DDJ2400925","2019-02-15","2019-02-15","2019-02-16","00:00:00","2019/02/16","45","0"
"2019-02-15","1:Firm","D20110","IEMT","8982319070","898231-9070","EJ40","FYJ2403161","2019-02-15","2019-02-15","2019-02-16","00:00:00","2019/02/16","165","0"
