"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-02-21","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","2K1A206800","2019-01-18","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","1","1"
"2019-02-21","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC206938","2019-01-16","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","2","2"
"2019-02-21","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","1K1B166500","2019-01-24","2019-02-15","2019-02-20","08:00:00","2019/03/20","02","2","2"
"2019-02-21","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-02-21","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-02-22","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","2K1A206800","2019-01-18","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","1","1"
"2019-02-22","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC206938","2019-01-16","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","2","2"
"2019-02-22","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","1K1B166500","2019-01-24","2019-02-15","2019-02-20","08:00:00","2019/03/20","02","2","2"
"2019-02-22","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-02-22","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-02-23","2:Daily forecast","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","","2019-02-23","2019-05-31","2019-06-03","00:00:00","","06","1","0"
"2019-02-23","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","2K1A206800","2019-01-18","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","1","1"
"2019-02-23","1:Firm","D20140","ITA","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","TC206938","2019-01-16","2019-02-05","2019-02-06","08:00:00","2019/02/06","02","2","2"
"2019-02-23","1:Firm","D20130","IMCT","8982432260","898243-2260-SP","COVER; TIMING CHAIN UPPER","COVER TIMING UPPER EJ40","1K1B166500","2019-01-24","2019-02-15","2019-02-20","08:00:00","2019/03/20","02","2","2"
