"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-28","2:Daily forecast","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-03-28","2019-07-02","2019-07-03","00:00:00","","07","390","0"
"2019-03-28","1:Firm","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","FYJ3401424","2019-03-07","2019-03-09","2019-03-11","10:00:00","2019/03/11","03","360","360"
"2019-03-28","1:Firm","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","FYJ3401792","2019-03-08","2019-03-11","2019-03-12","10:00:00","2019/03/12","03","360","360"
"2019-03-28","1:Firm","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","FCJ3000586","2019-03-09","2019-03-09","2019-03-11","00:00:00","2019/03/11","03","60","60"
"2019-03-28","1:Firm","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","ENJ2001015","2019-02-22","2019-03-11","2019-03-12","00:00:00","2019/03/12","03","375","375"
"2019-03-28","2:Daily forecast","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-03-28","2019-07-24","2019-07-25","00:00:00","","07","390","0"
"2019-03-28","1:Firm","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","ENJ2001014","2019-02-22","2019-03-09","2019-03-11","00:00:00","2019/03/11","03","375","375"
"2019-03-28","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-03-28","2019-04-11","2019-04-12","00:00:00","","04","13","0"
"2019-03-28","10:Total forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-03-28","2019-05-23","2019-05-24","00:00:00","","05","213","0"
"2019-03-28","10:Total forecast","D20110","IEMT","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-03-28","2019-05-23","2019-05-24","00:00:00","","05","297","0"
