"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2020-05-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMK3800748","2020-03-25","2020-03-31","2020-04-01","00:00:00","2020/04/01","04","600","600"
"2020-05-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMK3800749","2020-03-25","2020-04-01","2020-04-02","00:00:00","2020/04/02","04","600","600"
"2020-05-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMK4800044","2020-04-01","2020-04-06","2020-04-07","00:00:00","2020/04/07","04","600","600"
"2020-05-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMK4800045","2020-04-01","2020-04-07","2020-04-08","00:00:00","2020/04/08","04","600","600"
"2020-05-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","DMK4800127","2020-04-30","2020-05-07","2020-05-08","00:00:00","2020/05/08","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-08","2020-05-11","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-12","2020-05-13","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-14","2020-05-15","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-15","2020-05-18","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-18","2020-05-19","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-20","2020-05-21","00:00:00","","05","600","0"
"2020-05-01","2:Daily forecast","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM NO.1","BRACKET ASM;CAM,NO.1","","2020-04-30","2020-05-22","2020-05-23","00:00:00","","05","600","0"
