"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-01","1:Firm","D20410","MTA","49477-25706","49477-25706","BMW B48","2B18120033","2018-12-25","2019-01-04","2019-01-04","04:00:00","2019/01/04","504","504"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","11M9020364","2018-12-19","2019-01-05","2019-01-07","00:00:00","2019/01/07","30","30"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1132A100","1132A100","SU-4N15","11M9BH5323","2018-12-19","2019-01-08","2019-01-09","05:00:00","2019/01/09","180","180"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","4N15","11M9BG3952","2018-12-19","2019-01-09","2019-01-10","19:00:00","2019/01/10","172","172"
"2019-02-01","1:Firm","D20310","SKC-200","TC42223513","TC422-2351-3","E40-B","63732929","2018-12-27","2019-01-10","2019-01-11","00:00:00","2019/01/11","20","20"
"2019-02-01","1:Firm","D20410","MTA","49477-25706","49477-25706","BMW B48","2B19010028","2019-01-10","2019-01-12","2019-01-12","09:00:00","2019/01/12","504","504"
"2019-02-01","1:Firm","D20213","MEC-SUPPLEMENT Free Zone","1050B375","1050B375-LP","SU-4N15","12S9395202","2019-01-14","2019-01-14","2019-01-14","08:00:00","2019/01/14","1","1"
"2019-02-01","1:Firm","D20120","IMCT-IGCE","8983157052","898315-7052","VD00","DDK1224515","2019-01-11","2019-01-15","2019-01-16","13:00:00","2019/01/16","24","24"
"2019-02-01","1:Firm","D20110","IEMT","8982481612","898248-1612","ES01","FKJ1401156","2019-01-14","2019-01-17","2019-01-18","10:00:00","2019/01/18","120","120"
"2019-02-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ1401451","2019-01-15","2019-01-18","2019-01-19","23:30:00","2019/01/19","100","100"
"2019-02-01","1:Firm","D20112","IEMT-KD","8980118901","898011-8901","07TF","ENID001455","2018-12-27","2019-01-19","2019-01-21","00:00:00","2019/01/21","30","30"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1064A035X","1064A035","4D5OP(3E00)","13M9BI7545","2019-01-14","2019-01-22","2019-01-23","05:00:00","2019/01/23","55","55"
"2019-02-01","1:Firm","D20113","IEMT-BKT","8982446240","898244-6240","BRACKET ASM;CAM,NO.1","DMJ1800314","2019-01-16","2019-01-23","2019-01-24","00:00:00","2019/01/24","600","600"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1320A047","1320A047","4N15","13M9046289","2019-01-14","2019-01-24","2019-01-25","00:00:00","2019/01/25","30","30"
"2019-02-01","1:Firm","D20310","SKC-200","TC43223671","TC432-2367-1","E40-C","63942239","2019-01-22","2019-01-26","2019-01-28","00:00:00","2019/01/28","80","80"
"2019-02-01","1:Firm","D20120","IMCT-IGCE","8983157062","898315-7062","VD00","DDK1293354","2019-01-25","2019-01-28","2019-01-29","08:00:00","2019/01/29","6","6"
"2019-02-01","1:Firm","D20310","SKC-200","TC83221881","TC832-2188-1","E60C","64031784","2019-01-25","2019-01-30","2019-01-31","00:00:00","2019/01/31","90","90"
"2019-02-01","1:Firm","T00100","TBK","L120-07640-P10","L120-07640-EP","GEAR 4JJ1 (EJ28)","1101527503","2019-01-31","2019-01-31","2019-02-16","00:00:00","2019/02/14","2400","0"
"2019-02-01","1:Firm","D20110","IEMT","8982481612","898248-1612","ES01","DFJ1403297","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","30","0"
"2019-02-01","1:Firm","D20110","IEMT","8981655171","898165-5171","RT50","FYJ1408061","2019-01-31","2019-02-04","2019-02-05","00:00:00","2019/02/05","45","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5685","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","192","0"
"2019-02-01","1:Firm","D20110","IEMT","8983518020","898351-8020","ES14","FBJ1800342","2019-01-31","2019-02-07","2019-02-08","00:00:00","2019/01/29","30","0"
"2019-02-01","1:Firm","D20121","IGCE-KD","8983153693","898315-3693","VD00","KG91011166","2019-01-31","2019-02-11","2019-02-12","00:00:00","2019/02/12","12","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1064A035X","1064A035","4D5OP(3E00)","","2019-01-31","2019-02-13","2019-02-14","00:00:00","","240","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1130A228","1130A228","SU-4N15","","2019-01-31","2019-02-15","2019-02-16","00:00:00","","810","0"
"2019-02-01","2:Daily forecast","D20120","IMCT-IGCE","8983153693","898315-3693","VD00","","2019-01-31","2019-02-20","2019-02-21","00:00:00","","6","0"
"2019-02-01","2:Daily forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-01-31","2019-02-23","2019-02-25","00:00:00","","495","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40324402","TC403-2440-2","E40-C","","2019-01-31","2019-02-26","2019-02-27","00:00:00","","100","0"
