"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-18","1:Firm","D20220","MMTH-Free Zone","1320A047","1320A047","BRKT ASSY COOLING FAN","4N15","31M9062075","2019-02-22","2019-03-01","2019-03-04","13:00:00","2019/03/04","03","30","30"
"2019-03-18","1:Firm","D20210","MEC-Free zone","1130A230","1130A230","GEAR  SUPPLY PUMP","SU-4N15","31M9BB1536","2019-02-22","2019-03-04","2019-03-05","05:00:00","2019/03/05","03","180","180"
"2019-03-18","1:Firm","D20210","MEC-Free zone","1300A075","1300A075","PUMP ASSY;WATER","4M41","31M9BB2340","2019-02-22","2019-03-05","2019-03-06","00:00:00","2019/03/06","03","10","10"
"2019-03-18","1:Firm","D20110","IEMT","8982326241","898232-6241","OIL PUMP ASSY","4JJ1-EJ28","FYJ3400481","2019-03-05","2019-03-06","2019-03-07","10:00:00","2019/03/07","03","200","200"
"2019-03-18","1:Firm","D20121","IGCE-KD","8983156993","898315-6993","BRAKE ASSY FRr LH (STD)","VD00","KG92010392","2019-02-22","2019-03-07","2019-03-08","09:31:00","2019/03/08","03","6","6"
"2019-03-18","1:Firm","D20210","MEC-Free zone","1060A217","1060A217","CASE ASSY  TIMING CHAIN","4N15 (SU)","32M9BC7714","2019-03-06","2019-03-09","2019-03-11","00:00:00","2019/03/11","03","172","172"
"2019-03-18","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SLEEVE","SU-4N15","32M9034996","2019-03-06","2019-03-11","2019-03-12","13:00:00","2019/03/12","03","60","60"
"2019-03-18","1:Firm","D20120","IMCT-IGCE","8979483260","897948-3260","BRAKE ASSY Ft RH","700P (SAW)","DDK3230982","2019-03-09","2019-03-12","2019-03-13","08:00:00","2019/03/13","03","12","12"
"2019-03-18","1:Firm","D20410","MTA","49373-25590","49373-25590","HOUSING BEARING SUB ASSY","HONDA","2B19030026","2019-03-12","2019-03-14","2019-03-14","22:00:00","2019/03/14","03","1008","1008"
"2019-03-18","1:Firm","D20210","MEC-Free zone","1320A047","1320A047","BRKT ASSY COOLING FAN","4N15","32M9BC2129","2019-03-06","2019-03-15","2019-03-18","05:00:00","2019/03/18","03","180","180"
