"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-05-02","2019-05-30","00:00:00","","05","1200","0"
"2019-02-12","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-12","2019-02-12","2019-03-14","00:00:00","2019/03/14","02","200","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-03-07","2019-04-04","00:00:00","","03","1000","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-03-28","2019-05-03","00:00:00","","03","1000","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-02-28","2019-03-28","00:00:00","","02","1000","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-04-03","2019-05-09","00:00:00","","04","1200","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-03-14","2019-04-11","00:00:00","","03","1000","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-04-10","2019-05-16","00:00:00","","04","1200","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-12","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-12","2019-04-24","2019-05-23","00:00:00","","04","1200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-13","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-13","2019-02-13","2019-03-15","00:00:00","2019/03/14","02","200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-13","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-13","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-14","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-14","2019-02-14","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-14","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-14","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-14","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-14","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-15","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-15","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-02-15","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-15","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-16","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-03-28","2019-05-03","00:00:00","","03","1000","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-16","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-16","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-02-15","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-03-28","2019-05-03","00:00:00","","03","1000","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-17","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-17","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-02-15","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-17","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-03-28","2019-05-03","00:00:00","","03","1000","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-18","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-18","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-02-15","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-18","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-19","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-03-28","2019-05-03","00:00:00","","03","1000","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-19","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-15","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-19","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-15","2019-02-15","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-20","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-20","2019-02-20","2019-03-18","00:00:00","2019/03/14","02","170","0"
"2019-02-20","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-20","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-20","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-20","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-21","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-12","2019-02-14","2019-03-18","08:00:00","2019/03/14","02","170","170"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-21","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-21","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-21","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-21","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-22","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-12","2019-02-14","2019-03-18","08:00:00","2019/03/14","02","170","170"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-22","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-22","2019-03-01","2019-03-29","00:00:00","2019/03/29","03","30","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-04-03","2019-05-09","00:00:00","","04","1000","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-04-10","2019-05-16","00:00:00","","04","1000","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-04-24","2019-05-23","00:00:00","","04","1000","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-22","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-22","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
"2019-02-23","1:Firm","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","1101540217","2019-02-12","2019-02-14","2019-03-18","08:00:00","2019/03/14","02","170","170"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-05-09","2019-06-06","00:00:00","","05","1200","0"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-05-02","2019-05-30","00:00:00","","05","1000","0"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-05-16","2019-06-13","00:00:00","","05","1200","0"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-05-23","2019-06-20","00:00:00","","05","1200","0"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-03-21","2019-04-25","00:00:00","","03","1000","0"
"2019-02-23","2:Daily forecast","T00100","TBK","G167-16000-P10","G167-16000-EP","SPRING","","","2019-02-23","2019-05-30","2019-06-27","00:00:00","","05","1200","0"
