"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z25V141","2019-01-31","2019-03-19","2019-03-20","00:00:00","2019/03/20","03","10","0"
"2019-01-31","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z18V117","2019-01-31","2019-02-15","2019-02-20","00:00:00","2019/02/20","02","30","0"
"2019-01-31","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","S19129V096","2019-01-31","2019-04-29","2019-04-30","00:00:00","2019/04/30","04","5","0"
"2019-01-31","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z04V098","2019-01-31","2019-03-05","2019-03-06","00:00:00","2019/03/06","03","5","0"
"2019-02-01","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","S19129V096","2019-01-31","2019-04-29","2019-04-30","00:00:00","2019/04/30","04","5","0"
"2019-02-01","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z04V098","2019-01-31","2019-03-05","2019-03-06","00:00:00","2019/03/06","03","5","0"
"2019-02-01","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z25V141","2019-01-31","2019-03-19","2019-03-20","00:00:00","2019/03/20","03","10","0"
"2019-02-01","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z18V117","2019-01-31","2019-02-15","2019-02-20","00:00:00","2019/02/20","02","30","0"
"2019-02-02","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z18V117","2019-02-01","2019-02-15","2019-02-20","00:00:00","2019/02/20","02","30","0"
"2019-02-02","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z04V098","2019-02-01","2019-03-05","2019-03-06","00:00:00","2019/03/06","03","5","0"
"2019-02-02","1:Firm","D20810","HMMT","S475101910","G200-34400-SP","W/CYL ASSY","Y184","18Z25V141","2019-02-01","2019-03-19","2019-03-20","00:00:00","2019/03/20","03","10","0"
