"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-02-14","2019-03-18","00:00:00","","02","540","0"
"2019-01-31","1:Firm","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","1101505457","2018-11-29","2018-12-20","2019-01-18","00:00:00","2019/01/17","12","540","540"
"2019-01-31","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-03-07","2019-04-04","00:00:00","","03","540","0"
"2019-01-31","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-04-04","2019-05-10","00:00:00","","04","540","0"
"2019-02-01","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-05-09","2019-06-06","00:00:00","","05","540","0"
"2019-02-01","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-04-04","2019-05-10","00:00:00","","04","540","0"
"2019-02-01","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-02-14","2019-03-18","00:00:00","","02","540","0"
"2019-02-01","1:Firm","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","1101505457","2018-11-29","2018-12-20","2019-01-18","00:00:00","2019/01/17","12","540","540"
"2019-02-01","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-01-31","2019-03-07","2019-04-04","00:00:00","","03","540","0"
"2019-02-02","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-01","2019-02-14","2019-03-18","00:00:00","","02","540","0"
"2019-02-02","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-01","2019-03-07","2019-04-04","00:00:00","","03","540","0"
"2019-02-02","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-01","2019-05-09","2019-06-06","00:00:00","","05","540","0"
"2019-02-02","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-01","2019-04-04","2019-05-10","00:00:00","","04","540","0"
"2019-02-03","1:Firm","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","1101548075","2019-02-02","2019-02-12","2019-03-14","00:00:00","2019/03/14","02","540","0"
"2019-02-03","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-02","2019-02-14","2019-03-18","00:00:00","","02","540","0"
"2019-02-03","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-02","2019-03-07","2019-04-04","00:00:00","","03","540","0"
"2019-02-03","2:Daily forecast","T00100","TBK","J107-10911-P10","J107-10911-EP","COVER WATER PUMP","EJ50","","2019-02-02","2019-05-09","2019-06-06","00:00:00","","05","540","0"
