"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-01","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-01","2019-03-01","00:00:00","2019/03/19","03","40","0"
"2019-03-01","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-01","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-01","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-02","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-02","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-02","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-01","2019-03-01","00:00:00","2019/03/19","03","40","0"
"2019-03-02","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-02","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-03","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-03","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-03","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-03","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-03","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-01","2019-03-01","2019-03-01","00:00:00","2019/03/19","03","40","0"
"2019-03-04","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-04","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-04","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-04","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-04","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-04","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-04","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-05","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-05","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-05","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-05","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-05","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-05","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-05","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-06","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-06","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-06","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-06","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-06","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-06","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-06","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-07","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-07","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-07","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-07","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-07","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-07","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-07","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-08","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-03-08","2019-03-14","2019-03-15","00:00:00","2019/03/15","03","10","0"
"2019-03-08","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
"2019-03-08","2:Daily forecast","D20230","MMCH","MD370803T","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-08","2019-03-29","2019-04-01","00:00:00","","04","3","0"
"2019-03-08","2:Daily forecast","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","","2019-03-08","2019-03-29","2019-04-01","00:00:00","","04","33","0"
"2019-03-09","1:Firm","D20230","MMCH","MD370803","MD370803-SP","WATER PUMP ASSY","JT-4G1E","L91145613D","2019-01-31","2019-02-28","2019-03-01","05:00:00","2019/03/19","03","40","40"
