"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-06-10","2019-06-11","00:00:00","","06","189","0"
"2019-05-11","1:Firm","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","51S9425394","2019-04-30","2019-05-06","2019-05-07","00:00:00","2019/05/07","05","2","2"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-06-20","2019-06-21","00:00:00","","06","252","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-08-20","2019-08-21","00:00:00","","08","101","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-06-17","2019-06-18","00:00:00","","06","188","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-08-07","2019-08-08","00:00:00","","08","102","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-08-14","2019-08-15","00:00:00","","08","101","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-08-05","2019-08-06","00:00:00","","08","102","0"
"2019-05-11","2:Daily forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-05-22","2019-05-23","00:00:00","","05","300","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-09-24","2019-09-25","00:00:00","","09","101","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-07-18","2019-07-19","00:00:00","","07","153","0"
"2019-05-11","10:Total forecast","D20210","MEC-Free zone","MD372348V","MD372348-LP","PACKING SEMI-CIRCULAR","3E00","","2019-05-11","2019-09-20","2019-09-23","00:00:00","","09","101","0"
