"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","41983717","2020-01-29","2020-01-31","2020-02-03","00:00:00","2020/02/03","02","120","120"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","41989155","2020-01-31","2020-02-03","2020-02-04","00:00:00","2020/02/04","02","60","60"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","41994143","2020-02-01","2020-02-04","2020-02-05","00:00:00","2020/02/05","02","60","60"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","41999396","2020-02-04","2020-02-05","2020-02-06","00:00:00","2020/02/06","02","60","60"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","42004418","2020-02-05","2020-02-06","2020-02-07","00:00:00","2020/02/07","02","60","60"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","42009521","2020-02-07","2020-02-10","2020-02-11","00:00:00","2020/02/11","02","120","0"
"2020-02-10","1:Firm","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","42014548","2020-02-07","2020-02-11","2020-02-12","00:00:00","2020/02/12","02","60","0"
"2020-02-10","2:Daily forecast","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","","2020-02-07","2020-02-12","2020-02-13","00:00:00","","02","60","0"
"2020-02-10","2:Daily forecast","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","","2020-02-07","2020-02-13","2020-02-14","00:00:00","","02","60","0"
"2020-02-10","2:Daily forecast","D20310","SKC-200","TC42223713","TC422-2371-3","COVER  CLUTCH HOUSING","E40-B","","2020-02-07","2020-02-14","2020-02-15","00:00:00","","02","60","0"
