"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-17","2019-09-18","00:00:00","","09","4","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-08-21","2019-08-22","00:00:00","","08","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-26","2019-11-27","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-07","2019-11-08","00:00:00","","11","7","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-07-25","2019-07-26","00:00:00","","07","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-21","2019-11-22","00:00:00","","11","7","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-07-25","2019-07-30","00:00:00","","07","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-12","2019-09-13","00:00:00","","09","4","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-08-16","2019-08-19","00:00:00","","08","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-25","2019-09-26","00:00:00","","09","4","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-29","2019-10-30","00:00:00","","10","5","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-11","2019-11-12","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-29","2019-11-30","00:00:00","","11","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-19","2019-10-21","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-04","2019-11-05","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-23","2019-09-24","00:00:00","","09","4","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-19","2019-09-20","00:00:00","","09","4","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-10","2019-10-11","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-22","2019-10-24","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-14","2019-11-15","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-08","2019-10-09","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-15","2019-10-16","00:00:00","","10","6","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-08-02","2019-08-03","00:00:00","","08","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-17","2019-10-18","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-14","2019-09-16","00:00:00","","09","4","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-10","2019-09-11","00:00:00","","09","4","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-19","2019-11-20","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-05","2019-11-06","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-27","2019-10-01","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-04","2019-10-07","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-10-02","2019-10-03","00:00:00","","10","6","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-22","2019-11-25","00:00:00","","11","7","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-08-20","2019-08-21","00:00:00","","08","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-02","2019-09-03","00:00:00","","09","5","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-04","2019-09-05","00:00:00","","09","5","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-09-24","2019-09-25","00:00:00","","09","4","0"
"2019-07-01","2:Daily forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-08-08","2019-08-09","00:00:00","","08","10","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-15","2019-11-18","00:00:00","","11","7","0"
"2019-07-01","10:Total forecast","D20310","SKC-200","TE01221882","TE012-2188-2","FORK SHIFT SHUTTLE (FG)","E52A","","2019-07-01","2019-11-27","2019-11-28","00:00:00","","11","7","0"
