"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ2402806","2019-02-22","2019-02-26","2019-02-27","04:30:00","2019/02/27","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","DFJ2400115","2019-02-01","2019-02-07","2019-02-08","23:30:00","2019/02/08","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FBJ2600415","2019-02-26","2019-02-26","2019-02-27","00:00:00","2019/02/27","11","11"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ1404160","2019-02-05","2019-02-07","2019-02-08","15:00:00","2019/02/08","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FBJ1403076","2019-02-05","2019-02-07","2019-02-08","10:00:00","2019/02/08","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","DFJ1404032","2019-02-05","2019-02-07","2019-02-08","10:00:00","2019/02/08","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ2402986","2019-02-22","2019-02-26","2019-02-27","23:30:00","2019/02/27","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","DFJ1404031","2019-02-05","2019-02-07","2019-02-08","04:30:00","2019/02/08","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FBJ2401835","2019-02-22","2019-02-26","2019-02-27","23:30:00","2019/02/27","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","DFJ1403881","2019-01-31","2019-02-05","2019-02-06","23:30:00","2019/02/06","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FBJ1601154","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","15","15"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ1403795","2019-01-31","2019-02-05","2019-02-06","23:30:00","2019/02/06","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ1403794","2019-01-31","2019-02-05","2019-02-06","15:00:00","2019/02/06","100","100"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FBJ1402893","2019-01-31","2019-02-05","2019-02-06","15:00:00","2019/02/06","100","100"
"2019-03-01","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","","2019-03-01","2019-03-29","2019-04-01","00:00:00","","60","0"
"2019-03-01","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","","2019-03-01","2019-04-23","2019-04-24","00:00:00","","600","0"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","DFJ2403059","2019-03-01","2019-03-04","2019-03-05","00:00:00","2019/03/05","200","0"
"2019-03-01","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","","2019-03-01","2019-03-19","2019-03-20","00:00:00","","677","0"
"2019-03-01","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","ES20IR","FKJ2403779","2019-03-01","2019-03-04","2019-03-05","00:00:00","2019/03/05","200","0"
