"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ3400814","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ3400968","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
"2019-03-08","2:Daily forecast","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","","2019-03-08","2019-04-02","2019-04-03","00:00:00","","04","840","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ3400285","2019-03-08","2019-03-08","2019-03-08","00:00:00","2019/03/08","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ3400815","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ3400311","2019-03-08","2019-03-08","2019-03-08","00:00:00","2019/03/08","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ3400969","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","DFJ3400312","2019-03-08","2019-03-08","2019-03-09","00:00:00","2019/03/09","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FKJ3400970","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ3400317","2019-03-08","2019-03-08","2019-03-09","00:00:00","2019/03/09","03","100","0"
"2019-03-08","1:Firm","D20110","IEMT","5JX3713590","5JX371-3590","PUMP;ASM,OIL","ES20IR","FBJ3400746","2019-03-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","100","0"
