"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-04","2019-10-07","00:00:00","","10","445","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-28","2019-10-29","00:00:00","","10","445","0"
"2019-06-11","1:Firm","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","FBJ5403875","2019-05-29","2019-06-03","2019-06-04","23:30:00","2019/06/04","06","30","30"
"2019-06-11","1:Firm","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","DFJ5404090","2019-05-29","2019-06-03","2019-06-04","23:30:00","2019/06/04","06","270","270"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-06-19","2019-06-20","00:00:00","","06","570","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-20","2019-09-23","00:00:00","","09","372","0"
"2019-06-11","1:Firm","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","FBJ5403740","2019-05-28","2019-06-03","2019-06-04","23:30:00","2019/06/04","06","30","30"
"2019-06-11","1:Firm","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","FBJ5403739","2019-05-28","2019-06-03","2019-06-04","10:00:00","2019/06/04","06","30","30"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-24","2019-10-25","00:00:00","","10","445","0"
"2019-06-11","1:Firm","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","DFJ5403868","2019-05-28","2019-06-03","2019-06-04","10:00:00","2019/06/04","06","210","210"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-05","2019-07-08","00:00:00","","07","540","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-08-22","2019-08-23","00:00:00","","08","516","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-26","2019-09-27","00:00:00","","09","372","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-08-28","2019-08-29","00:00:00","","08","684","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-17","2019-07-18","00:00:00","","07","96","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-06-17","2019-06-18","00:00:00","","06","630","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-17","2019-07-18","00:00:00","","07","96","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-17","2019-07-18","00:00:00","","07","72","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-19","2019-07-22","00:00:00","","07","480","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-02","2019-07-03","00:00:00","","07","330","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-21","2019-10-22","00:00:00","","10","445","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-08-20","2019-08-21","00:00:00","","08","516","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-08-26","2019-08-27","00:00:00","","08","684","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-06-27","2019-06-28","00:00:00","","06","510","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-09","2019-09-10","00:00:00","","09","371","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-18","2019-10-19","00:00:00","","10","445","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-27","2019-10-01","00:00:00","","10","441","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-05","2019-09-06","00:00:00","","09","108","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-23","2019-07-24","00:00:00","","07","96","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-23","2019-07-24","00:00:00","","07","480","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-23","2019-07-24","00:00:00","","07","72","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-06-25","2019-06-26","00:00:00","","06","510","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-11","2019-09-12","00:00:00","","09","371","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-10-11","2019-10-15","00:00:00","","10","445","0"
"2019-06-11","2:Daily forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-10","2019-07-11","00:00:00","","07","300","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-15","2019-07-16","00:00:00","","07","96","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-07-15","2019-07-16","00:00:00","","07","96","0"
"2019-06-11","10:Total forecast","D20110","IEMT","8982481612","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","ES01","","2019-06-11","2019-09-03","2019-09-04","00:00:00","","09","108","0"
