"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-17","2:Daily forecast","D20110","IEMT","8982481601","898248-1601","ES01","","2019-02-15","2019-02-25","2019-02-26","00:00:00","","720","0"
"2019-02-17","2:Daily forecast","D20110","IEMT","8981320560","898132-0560","RT50","","2019-02-15","2019-02-27","2019-02-28","00:00:00","","15","0"
"2019-02-17","2:Daily forecast","D20110","IEMT","8981320560","898132-0560","RT50","","2019-02-15","2019-03-06","2019-03-07","00:00:00","","15","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8982326241","898232-6241","4JJ1-EJ28","","2019-02-15","2019-03-20","2019-03-21","00:00:00","","80","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8982432260","898243-2260","EJ40","","2019-02-15","2019-05-02","2019-05-03","00:00:00","","641","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8982319070","898231-9070","EJ40","","2019-02-15","2019-05-06","2019-05-07","00:00:00","","585","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8973794640","897379-4640","4JJ1","","2019-02-15","2019-05-08","2019-05-09","00:00:00","","660","0"
"2019-02-17","1:Firm","D20110","IEMT","8982481612","898248-1612","ES01","DFJ1403295","2019-01-30","2019-01-31","2019-02-01","23:30:00","2019/02/01","30","30"
"2019-02-17","2:Daily forecast","D20110","IEMT","8981655171","898165-5171","RT50","","2019-02-15","2019-02-27","2019-02-28","00:00:00","","30","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8982326241","898232-6241","4JJ1-EJ28","","2019-02-15","2019-03-20","2019-03-21","00:00:00","","49","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8981320560","898132-0560","RT50","","2019-02-15","2019-03-27","2019-03-28","00:00:00","","3","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8982481601","898248-1601","ES01","","2019-02-15","2019-05-06","2019-05-07","00:00:00","","624","0"
"2019-02-17","10:Total forecast","D20110","IEMT","8973121474","897312-1474","4JJ1","","2019-02-15","2019-05-08","2019-05-09","00:00:00","","648","0"
"2019-02-17","1:Firm","D20110","IEMT","8982481612","898248-1612","ES01","FKJ1403337","2019-01-30","2019-01-31","2019-02-01","23:30:00","2019/02/01","270","270"
