"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-12-04","2019-12-09","00:00:00","","12","720","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-11-09","2019-11-11","00:00:00","","11","60","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-11-01","2019-11-04","00:00:00","","11","375","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-12-20","2019-12-23","00:00:00","","12","200","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-12-13","2019-12-16","00:00:00","","12","170","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-11-15","2019-11-18","00:00:00","","11","160","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-10-19","2019-10-21","00:00:00","","10","420","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-12-20","2019-12-23","00:00:00","","12","630","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-11-15","2019-11-18","00:00:00","","11","465","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-12-13","2019-12-16","00:00:00","","12","735","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-11-22","2019-11-25","00:00:00","","11","170","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-10-25","2019-10-28","00:00:00","","10","345","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-11-22","2019-11-25","00:00:00","","11","720","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-11-30","2019-12-02","00:00:00","","12","735","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-11-30","2019-12-02","00:00:00","","12","170","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-12-25","2019-12-26","00:00:00","","12","190","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8982432260","898243-2260","COVER; TIMING CHAIN UPPER","EJ40","","2019-10-16","2019-11-09","2019-11-11","00:00:00","","11","465","0"
"2019-10-16","2:Daily forecast","D20112","IEMT-KD","8980118901","898011-8901","BRACKET; COMMON RAIL","07TF","","2019-10-16","2019-12-04","2019-12-09","00:00:00","","12","170","0"
