"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-08-23","2019-08-26","00:00:00","","08","805","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-09-16","2019-09-17","00:00:00","","09","780","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-10-22","2019-10-24","00:00:00","","10","784","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9931","2019-05-31","2019-06-19","2019-06-20","00:00:00","2019/06/20","06","140","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9932","2019-05-31","2019-06-19","2019-06-20","00:00:00","2019/06/20","06","148","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9933","2019-05-31","2019-06-19","2019-06-20","00:00:00","2019/06/20","06","144","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-07-12","2019-07-15","00:00:00","","07","617","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8529","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","144","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8526","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","136","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8527","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","144","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8528","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","140","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-08-14","2019-08-15","00:00:00","","08","806","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9908","2019-05-31","2019-06-11","2019-06-12","00:00:00","2019/06/12","06","144","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9918","2019-05-31","2019-06-13","2019-06-14","00:00:00","2019/06/14","06","148","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9909","2019-05-31","2019-06-11","2019-06-12","00:00:00","2019/06/12","06","148","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9915","2019-05-31","2019-06-13","2019-06-14","00:00:00","2019/06/14","06","144","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9916","2019-05-31","2019-06-13","2019-06-14","00:00:00","2019/06/14","06","148","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-10-16","2019-10-17","00:00:00","","10","785","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9917","2019-05-31","2019-06-13","2019-06-14","00:00:00","2019/06/14","06","144","0"
"2019-06-01","2:Daily forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-07-05","2019-07-06","00:00:00","","07","792","0"
"2019-06-01","2:Daily forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-07-05","2019-07-08","00:00:00","","07","728","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8503","2019-05-20","2019-05-31","2019-06-01","13:00:00","2019/06/01","06","136","136"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9926","2019-05-31","2019-06-17","2019-06-18","00:00:00","2019/06/18","06","148","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","61M9BI8502","2019-05-20","2019-05-31","2019-06-01","05:00:00","2019/06/01","06","128","128"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9923","2019-05-31","2019-06-17","2019-06-18","00:00:00","2019/06/18","06","144","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9924","2019-05-31","2019-06-17","2019-06-18","00:00:00","2019/06/18","06","148","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-09-04","2019-09-05","00:00:00","","09","780","0"
"2019-06-01","1:Firm","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","62M9BJ9925","2019-05-31","2019-06-17","2019-06-18","00:00:00","2019/06/18","06","144","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-10-28","2019-10-29","00:00:00","","10","784","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-10-11","2019-10-15","00:00:00","","10","785","0"
"2019-06-01","10:Total forecast","D20210","MEC-Free zone","1300A126","1300A126","WATER PUMP ASSY","4N15","","2019-05-31","2019-10-30","2019-10-31","00:00:00","","10","784","0"
