"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","32M9035019","2019-03-08","2019-03-13","2019-03-14","00:00:00","2019/03/14","30","0"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","32M9035056","2019-03-08","2019-03-18","2019-03-19","00:00:00","2019/03/19","30","0"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","32M9035055","2019-03-08","2019-03-18","2019-03-19","00:00:00","2019/03/19","60","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-05-06","2019-05-07","00:00:00","","36","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-03","2019-07-04","00:00:00","","42","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-15","2019-07-16","00:00:00","","41","0"
"2019-03-08","2:Daily forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-04-05","2019-04-08","00:00:00","","30","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-05-27","2019-05-28","00:00:00","","35","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-06-07","2019-06-10","00:00:00","","38","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-10","2019-07-11","00:00:00","","42","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-18","2019-07-19","00:00:00","","41","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-05-30","2019-05-31","00:00:00","","35","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-25","2019-07-30","00:00:00","","41","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-05-17","2019-05-20","00:00:00","","35","0"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","31M9062107","2019-02-22","2019-03-06","2019-03-07","13:00:00","2019/03/07","30","30"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","31M9062108","2019-02-22","2019-03-06","2019-03-07","00:00:00","2019/03/07","60","60"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-04-25","2019-04-26","00:00:00","","19","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-06-19","2019-06-20","00:00:00","","37","0"
"2019-03-08","10:Total forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-07-08","2019-07-09","00:00:00","","42","0"
"2019-03-08","1:Firm","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","31M9062065","2019-02-22","2019-03-01","2019-03-04","13:00:00","2019/03/04","30","30"
"2019-03-08","2:Daily forecast","D20220","MMTH-Free Zone","1060A217","1060A217","4N15 (SU)","","2019-03-08","2019-03-25","2019-03-26","00:00:00","","90","0"
