"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-08-30","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98152343E","2019-08-30","2019-10-03","2019-10-04","00:00:00","2019/10/15","10","2300","0"
"2019-08-30","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98146743D","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","300","0"
"2019-08-30","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98148533E","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","700","0"
"2019-08-30","2:Daily forecast","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","","2019-08-30","2019-10-31","2019-11-01","00:00:00","","11","312","0"
"2019-08-31","2:Daily forecast","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","","2019-08-30","2019-10-31","2019-11-01","00:00:00","","11","312","0"
"2019-08-31","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98146743D","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","300","0"
"2019-08-31","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98148533E","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","700","0"
"2019-08-31","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98152343E","2019-08-30","2019-10-03","2019-10-04","00:00:00","2019/10/15","10","2300","0"
"2019-09-01","2:Daily forecast","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","","2019-08-30","2019-10-31","2019-11-01","00:00:00","","11","312","0"
"2019-09-01","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98146743D","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","300","0"
"2019-09-01","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98148533E","2019-08-30","2019-09-26","2019-09-27","00:00:00","2019/10/11","09","700","0"
"2019-09-01","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98152343E","2019-08-30","2019-10-03","2019-10-04","00:00:00","2019/10/15","10","2300","0"
"2019-09-02","1:Firm","D20230","MMCH","1052B665","1052B665-SP","OIL SEAL","4G64","L98152343E","2019-09-02","2019-10-03","2019-10-04","00:00:00","2019/10/15","10","2300","0"
