"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-04-12","2019-04-22","00:00:00","","265","0"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-06-19","2019-06-20","00:00:00","","187","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-03-04","2019-03-05","00:00:00","","225","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-02-28","2019-03-01","00:00:00","","250","0"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-04-05","2019-04-08","00:00:00","","265","0"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-05-16","2019-05-17","00:00:00","","244","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-02-11","2019-02-12","00:00:00","","250","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-02-23","2019-02-25","00:00:00","","250","0"
"2019-02-01","2:Daily forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-02-06","2019-02-07","00:00:00","","150","0"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-03-27","2019-03-28","00:00:00","","241","0"
"2019-02-01","10:Total forecast","D20310","SKC-200","TC40226631","TC402-2663-1","E40-B","","2019-01-31","2019-04-23","2019-04-24","00:00:00","","265","0"
