"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-06","2019-02-09","2019-02-09","04:00:00","2019/02/09","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-19","2019-03-19","00:00:00","","1512","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-28","2019-03-04","2019-03-04","00:00:00","2019/03/04","504","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-28","2019-03-04","2019-03-04","00:00:00","2019/03/04","504","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-06","2019-03-06","00:00:00","","1512","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-12","2019-02-13","2019-02-13","22:00:00","2019/02/13","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-12","2019-02-13","2019-02-13","09:00:00","2019/02/13","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-16","2019-03-16","00:00:00","","1008","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-27","2019-03-27","00:00:00","","1512","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-02","2019-02-04","2019-02-04","22:00:00","2019/02/04","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-02","2019-02-04","2019-02-04","22:00:00","2019/02/04","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-02","2019-02-04","2019-02-04","16:00:00","2019/02/04","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-20","2019-03-20","00:00:00","","1512","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-22","2019-03-22","00:00:00","","1512","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-23","2019-03-23","00:00:00","","1512","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-08","2019-02-11","2019-02-11","22:00:00","2019/02/11","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-08","2019-02-11","2019-02-11","09:00:00","2019/02/11","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-25","2019-03-25","00:00:00","","2016","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-08","2019-03-08","00:00:00","","504","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-12","2019-02-14","2019-02-14","16:00:00","2019/02/14","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-12","2019-02-14","2019-02-14","09:00:00","2019/02/14","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-25","2019-02-27","2019-02-27","09:00:00","2019/02/27","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-02","2019-02-05","2019-02-05","04:00:00","2019/02/05","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-02","2019-02-05","2019-02-05","22:00:00","2019/02/05","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-02","2019-02-05","2019-02-05","16:00:00","2019/02/05","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-02","2019-02-05","2019-02-05","09:00:00","2019/02/05","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-02","2019-02-05","2019-02-05","09:00:00","2019/02/05","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19010027","2019-01-31","2019-02-02","2019-02-03","04:00:00","2019/02/03","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19010028","2019-01-31","2019-02-02","2019-02-02","22:00:00","2019/02/02","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-18","2019-03-18","00:00:00","","1512","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-28","2019-03-28","00:00:00","","1512","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-21","2019-03-21","00:00:00","","1008","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-11","2019-02-12","2019-02-12","09:00:00","2019/02/12","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-12","2019-02-12","2019-02-12","16:00:00","2019/02/12","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-05","2019-02-07","2019-02-07","22:00:00","2019/02/07","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-05","2019-02-07","2019-02-07","16:00:00","2019/02/07","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-05","2019-02-07","2019-02-07","09:00:00","2019/02/07","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-07","2019-03-07","00:00:00","","1512","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-29","2019-03-29","00:00:00","","1008","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-09","2019-03-09","00:00:00","","504","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-04","2019-02-06","2019-02-06","22:00:00","2019/02/06","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-04","2019-02-06","2019-02-06","09:00:00","2019/02/06","504","504"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-04","2019-02-06","2019-02-06","09:00:00","2019/02/06","1008","1008"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-28","2019-03-05","2019-03-05","00:00:00","2019/03/05","504","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19010027","2019-01-30","2019-02-01","2019-02-01","16:00:00","2019/02/01","1008","1008"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","2B19020029","2019-02-06","2019-02-08","2019-02-08","22:00:00","2019/02/08","504","504"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-15","2019-03-15","00:00:00","","1008","0"
"2019-02-28","2:Daily forecast","D20410","MTA","49173-25556","49173-25556","RENAULT","","2019-02-28","2019-03-26","2019-03-26","00:00:00","","2016","0"
"2019-02-28","1:Firm","D20410","MTA","49173-25556","49173-25556","RENAULT","B19020028","2019-02-28","2019-03-02","2019-03-02","00:00:00","2019/03/02","504","0"
