"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-16","2019-08-19","00:00:00","","08","6720","0"
"2019-06-01","1:Firm","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","0PPC190329","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","5760","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-02","2019-08-05","00:00:00","","08","6720","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-06-21","2019-06-24","00:00:00","","06","6720","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-14","2019-09-16","00:00:00","","09","5760","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-11","2019-07-12","00:00:00","","07","8640","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-06-14","2019-06-17","00:00:00","","06","6720","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-06","2019-09-09","00:00:00","","09","5760","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-04","2019-07-05","00:00:00","","07","7680","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-20","2019-09-23","00:00:00","","09","5760","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-09","2019-08-13","00:00:00","","08","6720","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-18","2019-07-19","00:00:00","","07","7680","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-24","2019-07-25","00:00:00","","07","8640","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-30","2019-09-02","00:00:00","","09","6720","0"
"2019-06-01","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-23","2019-08-26","00:00:00","","08","6720","0"
"2019-06-01","1:Firm","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","0PPC190329","2019-05-31","2019-05-31","2019-06-03","00:00:00","2019/06/03","06","5760","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-06","2019-09-09","00:00:00","","09","5760","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-04","2019-07-05","00:00:00","","07","7680","0"
"2019-06-02","1:Firm","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","0PPC190329","2019-05-31","2019-05-31","2019-06-03","00:00:00","2019/06/03","06","5760","0"
"2019-06-02","1:Firm","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","0PPC190329","2019-05-27","2019-05-31","2019-06-03","08:00:00","2019/06/03","06","5760","5760"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-20","2019-09-23","00:00:00","","09","5760","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-09","2019-08-13","00:00:00","","08","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-18","2019-07-19","00:00:00","","07","7680","0"
"2019-06-02","1:Firm","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","0PPC190329","2019-05-31","2019-06-07","2019-06-10","00:00:00","2019/06/10","06","5760","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-24","2019-07-25","00:00:00","","07","8640","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-30","2019-09-02","00:00:00","","09","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-23","2019-08-26","00:00:00","","08","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-16","2019-08-19","00:00:00","","08","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-08-02","2019-08-05","00:00:00","","08","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-06-21","2019-06-24","00:00:00","","06","6720","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-09-14","2019-09-16","00:00:00","","09","5760","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-07-11","2019-07-12","00:00:00","","07","8640","0"
"2019-06-02","2:Daily forecast","D20510","HCTD","JD3032510","B200-00111","WHEEL CYL. ASSY","J03(Deimo)","","2019-05-31","2019-06-14","2019-06-17","00:00:00","","06","6720","0"
