"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-03-01","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-01","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-02","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-01","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-03","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-01","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-04","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-04","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-05","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-05","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-06","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-06","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-07","2:Daily forecast","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","","2019-03-07","2019-03-12","2019-03-13","00:00:00","","03","1","0"
"2019-03-08","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-08","2019-03-08","2019-03-08","00:00:00","2019/03/08","03","1","0"
"2019-03-09","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-09","2019-03-09","2019-03-08","00:00:00","2019/03/08","03","1","0"
"2019-03-10","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-07","2019-03-07","2019-03-08","08:00:00","2019/03/08","03","1","1"
"2019-03-10","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-09","2019-03-09","2019-03-08","00:00:00","2019/03/08","03","1","0"
"2019-03-11","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-07","2019-03-07","2019-03-08","08:00:00","2019/03/08","03","1","1"
"2019-03-12","1:Firm","D21311","DATT-SP","15100-BZ050","15100-BZ050-ESP","PUMP ASSY OIL","D73A","TBK-F-1903-PSSB","2019-03-07","2019-03-07","2019-03-08","08:00:00","2019/03/08","03","1","1"
