"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-13","2019-12-16","00:00:00","","12","200","0"
"2019-11-01","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500351522","2019-11-01","2019-11-09","2019-11-11","00:00:00","2019/11/11","11","408","0"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-04","2019-12-09","00:00:00","","12","400","0"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-06","2020-01-07","00:00:00","","01","420","0"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-31","2020-02-03","00:00:00","","02","420","0"
"2019-11-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-21","2020-01-22","00:00:00","","01","235","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-13","2019-12-16","00:00:00","","12","200","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-04","2019-12-09","00:00:00","","12","400","0"
"2019-11-02","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500351522","2019-11-01","2019-11-09","2019-11-11","00:00:00","2019/11/11","11","408","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-06","2020-01-07","00:00:00","","01","420","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-31","2020-02-03","00:00:00","","02","420","0"
"2019-11-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-21","2020-01-22","00:00:00","","01","235","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-04","2019-12-09","00:00:00","","12","400","0"
"2019-11-03","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500351522","2019-11-01","2019-11-09","2019-11-11","00:00:00","2019/11/11","11","408","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-06","2020-01-07","00:00:00","","01","420","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-31","2020-02-03","00:00:00","","02","420","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-01-21","2020-01-22","00:00:00","","01","235","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2019-12-13","2019-12-16","00:00:00","","12","200","0"
"2019-11-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-01","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2020-01-06","2020-01-07","00:00:00","","01","420","0"
"2019-11-04","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500351522","2019-11-04","2019-11-09","2019-11-11","00:00:00","2019/11/11","11","408","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2020-01-31","2020-02-03","00:00:00","","02","420","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2020-01-21","2020-01-22","00:00:00","","01","235","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2019-12-04","2019-12-09","00:00:00","","12","400","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-04","2019-12-13","2019-12-16","00:00:00","","12","200","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2020-01-21","2020-01-22","00:00:00","","01","235","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2019-12-04","2019-12-09","00:00:00","","12","400","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2019-12-13","2019-12-16","00:00:00","","12","200","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2020-01-06","2020-01-07","00:00:00","","01","420","0"
"2019-11-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-05","2020-01-31","2020-02-03","00:00:00","","02","420","0"
"2019-11-05","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500351522","2019-11-05","2019-11-09","2019-11-11","00:00:00","2019/11/11","11","408","0"
"2019-11-06","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-06","2020-02-14","2020-02-17","00:00:00","","02","218","0"
"2019-11-06","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-11-06","2020-01-31","2020-02-03","00:00:00","","02","420","0"
