"PD","LINE_CD","LINE_NAME","item_cd","ITEM_NAME","MODEL","SCAN_QTY","WI","PROD_ITEM","PROD_PLAN","WORK_ODR_DLV_DATE","SCAN_LOT","TAG_TYP","TAG_READED","SCAN_EMP","TERM_CD","UPDATE_DATE","UPDATE_BY","TAG_SEQ","LOCATION_PART"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060007","01434","PICK001","2019-10-16 13:38:00","01434","5100081576007","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060009","01434","PICK001","2019-10-16 13:38:00","01434","5100081576009","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060010","01434","PICK001","2019-10-16 13:38:00","01434","5100081576010","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060008","01434","PICK001","2019-10-16 13:38:00","01434","5100081576008","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060005","01434","PICK001","2019-10-16 13:38:00","01434","5100081576005","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060004","01434","PICK001","2019-10-16 13:38:00","01434","5100081576004","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081456","1","GD5100081456J123-13700               L404800000162000000060015","01434","PICK001","2019-10-16 13:38:00","01434","5100081456015","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081456","1","GD5100081456J123-13700               L404800000162000000060020","01434","PICK001","2019-10-16 13:38:00","01434","5100081456020","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060006","01434","PICK001","2019-10-16 13:38:00","01434","5100081576006","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081456","1","GD5100081456J123-13700               L404800000162000000060027","01434","PICK001","2019-10-16 13:38:00","01434","5100081456027","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081576","1","GD5100081576J123-13700               L404800000072000000060003","01434","PICK001","2019-10-16 13:38:00","01434","5100081576003","H3GA0101"
"K1PD01","K1A003","3E00 4D5 4M4 4G6 WATER PUMP ASSY 4N15 BKT COOLING FAN","J123-13700","FLANGE","G-CAR(4N15)","60.00","5100119019","1320A047","720","2019-10-16 00:00:00","5100081456","1","GD5100081456J123-13700               L404800000162000000060026","01434","PICK001","2019-10-16 13:38:00","01434","5100081456026","H3GA0101"
