"ITEM_CD","LOT_NUMBER","INVOICE_NO","DELIVERY_DATE","SHIP_PLAN_DATE","SHIP_QTY","SLIP_CD","CREATED_DATE","CUST_ODR_NO","CUST_CD","TOTAL"
"898315-3723","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243206","2020-02-07 10:59:55","DDL2225422","D20120","12"
"898315-3723","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243206","2020-02-07 11:00:00","DDL2225422","D20120","12"
"898315-3723","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243206","2020-02-07 11:00:05","DDL2225422","D20120","12"
"898315-3733","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243207","2020-02-07 11:00:13","DDL2225423","D20120","12"
"898315-3733","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243207","2020-02-07 11:00:19","DDL2225423","D20120","12"
"898315-3733","JB03","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243207","2020-02-07 11:00:26","DDL2225423","D20120","12"
"898315-6983","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243208","2020-02-07 11:00:46","DDL2225424","D20120","12"
"898315-6983","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243208","2020-02-07 11:00:50","DDL2225424","D20120","12"
"898315-6983","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243208","2020-02-07 11:00:55","DDL2225424","D20120","12"
"898315-6993","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243209","2020-02-07 11:00:30","DDL2225425","D20120","12"
"898315-6993","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243209","2020-02-07 11:00:35","DDL2225425","D20120","12"
"898315-6993","JB01","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243209","2020-02-07 11:00:39","DDL2225425","D20120","12"
"898315-7293","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243210","2020-02-07 11:01:07","DDL2225426","D20120","12"
"898315-7293","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243210","2020-02-07 11:01:10","DDL2225426","D20120","12"
"898315-7293","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243210","2020-02-07 11:01:12","DDL2225426","D20120","12"
"898315-7353","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243211","2020-02-07 11:00:58","DDL2225427","D20120","12"
"898315-7353","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243211","2020-02-07 11:01:01","DDL2225427","D20120","12"
"898315-7353","JB06","5020020117","2020-02-08 08:00:00","2020-02-07","4","50SLD0000243211","2020-02-07 11:01:04","DDL2225427","D20120","12"
"897948-3260","JA27","5020020118","2020-02-08 13:00:00","2020-02-07","4","50SLD0000243200","2020-02-07 11:01:44","DDL2225416","D20120","12"
"897948-3260","JA27","5020020118","2020-02-08 13:00:00","2020-02-07","4","50SLD0000243200","2020-02-07 11:01:47","DDL2225416","D20120","12"
"897948-3260","JA27","5020020118","2020-02-08 13:00:00","2020-02-07","4","50SLD0000243200","2020-02-07 11:01:48","DDL2225416","D20120","12"
