CUST_ANAME,ITEM_NO,ITEM_NAME,MODEL,PRICE
IGCE,898482-3840,BRAKE ASSY RRr LH (STD),VD00-HR,1496.71
IGCE,898482-3830,BRAKE ASSY RRr RH (STD),VD00-HR,1459.33
IGCE,898482-3770,BRAKE ASSY FRr LH (STD),VD00-HR,940.99
IGCE,898482-3710,BRAKE ASSY FRr RH (STD),VD00-HR,940.99
IGCE,898315-7353,BRAKE ASM;REAR;R (STD),VD00,4193.76
IGCE,898315-7333,BRAKE ASSY ; REAR;F,VD00,4149.32
IGCE,898315-7293,BRAKE ASM;REAR;R (STD),VD00,4071.02
IGCE,898315-7273,BRAKE ASSY ; REAR;F,VD00,4149.32
IGCE,898315-7062,BRAKE ASSY ; REAR;F,VD00,3545.63
IGCE,898315-7052,BRAKE ASM;FRONT (STD),VD00,3551.81
IGCE,898315-6993,BRAKE ASM;REAR;F (STD),VD00,3722.23
IGCE,898315-6983,BRAKE ASM;REAR;F (STD),VD00,3722.23
IGCE,898315-3733,BRAKE ASSY ; REAR;F,VD00,3209.19
IGCE,898315-3723,BRAKE ASSY ; REAR;F,VD00,3209.19
IGCE,897485-4160,BRAKE ASSY Ft RH (STD),VD00-HR,1419.00
IGCE,897485-4150,BRAKE ASSY Ft RH (STD),VD00-HR,1419.00
IMCT,897948-3450,BRAKE ASSY ; REAR;F,700P,2974.39
IMCT,897948-3440,BRAKE ASSY ; REAR;F,700P,2974.39
IMCT,897948-3370,BRAKE ASSY,700P,2974.39
IMCT,897948-3360,BRAKE ASSY,700P,2974.39
IMCT,897948-3270,BRAKE ASSY ; FRONT,700P,2583.02
IMCT,897948-3260,BRAKE ASSY ; FRONT,700P,2583.02
