CUST_ANAME,ITEM_NO,ITEM_NAME,MODEL,PRICE
IMCT,897941-8522(8521) ,OIL PUMP ASSY,4JA1OP, 425.25 
TIS,897942-4663(897942-4662),OIL PUMP ASSY,4JH1OP, 425.25 
NPT,21010-7M600E,WATER PUMP ASSY,HS(E) WP, 16.59 
MEC,MD332352 (NEW),OIL PUMP ASSY,4G1E OP, 5.74 
MEC,MN149597V,OIL PUMP ASSY,4G1EOP(JT), 5.74 
MEC,1211A073X('MD342095V),CASE ASSY OIL PUMP,4G9EOP, 14.03 
MEC,MD309756V,WATER PUMP ASSY,4G9EWP, 30.31 
TIS,8-97940254-2 (897940-2542),OIL PUMP ASSY,4JA1OP, 414.08 
TIS,8-97940253-2,OIL PUMP ASSY,4JA1OP, 414.08 
TIS,897944-1590,OIL PUMP ASSY,4JH1, 271.80 
TIS,897944-4290,OIL PUMP ASSY,4JH1OP(IZ), 418.87 
TIS,897944-4300,OIL PUMP ASSY,4JH1OP(IZ), 418.87 
KET,1J881-73031,WATER PUMP ASSY,3 SERIES W/P, 5.42 
TBK,1132A104,HOUSING & GEAR ASSY B/S DRIVE,G-CAR(4N15)," 12,571.54 "
IMCT,TN4008,WATER PUMP ASSY,6U W/P, 257.76 
KET,1J881-73032,WATER PUMP ASSY,3 SERIES W/P, 5.42 
KET,1J881-73033,WATER PUMP ASSY,3 SERIES W/P, 5.42 
