"PLANT_CD","WH_CD","KEY_CD"
"51","K1CE","51\K1CE"
"51","K1JM","51\K1JM"
"51","K1LA","51\K1LA"
"51","K1MX","51\K1MX"
"51","K1PC","51\K1PC"
"51","K1PE","51\K1PE"
"51","K1QC","51\K1QC"
"51","K1RT","51\K1RT"
"51","KS0010","51\KS0010"
"51","KS1010","51\KS1010"
"51","KS1020","51\KS1020"
"51","KS1030","51\KS1030"
"51","KS1040","51\KS1040"
"51","KS1120","51\KS1120"
"51","KS1130","51\KS1130"
"51","KS4001","51\KS4001"
"51","KS4002","51\KS4002"
"51","KS4003","51\KS4003"
"51","KS4004","51\KS4004"
"51","KS4005","51\KS4005"
"51","KS4006","51\KS4006"
"51","KS4007","51\KS4007"
"51","KS4008","51\KS4008"
"51","KS4009","51\KS4009"
"51","KS4010","51\KS4010"
"51","KS4011","51\KS4011"
"51","KS4012","51\KS4012"
"51","KS4013","51\KS4013"
"51","KS4014","51\KS4014"
"51","KS4015","51\KS4015"
"51","KS4016","51\KS4016"
"51","KS4017","51\KS4017"
"51","KS4018","51\KS4018"
"51","KS4019","51\KS4019"
"51","KS4020","51\KS4020"
"51","KS4021","51\KS4021"
"51","KS4022","51\KS4022"
"51","KS4023","51\KS4023"
"51","KS4024","51\KS4024"
"51","KS4025","51\KS4025"
"51","KS4026","51\KS4026"
"51","KS4027","51\KS4027"
"51","KS4028","51\KS4028"
"51","KS4029","51\KS4029"
"51","KS4030","51\KS4030"
"51","KS4031","51\KS4031"
"51","KS4032","51\KS4032"
"51","KS4033","51\KS4033"
"51","KS4034","51\KS4034"
"51","KS4035","51\KS4035"
"51","KS4036","51\KS4036"
"51","KS4037","51\KS4037"
"51","KS4038","51\KS4038"
"51","KS4039","51\KS4039"
"51","KS4040","51\KS4040"
"51","KS4041","51\KS4041"
"51","KS4042","51\KS4042"
"51","KS4043","51\KS4043"
"51","KS4044","51\KS4044"
"51","KS4045","51\KS4045"
"51","KS4046","51\KS4046"
"51","KS4047","51\KS4047"
"51","KS4048","51\KS4048"
"51","KS4049","51\KS4049"
"51","KS4050","51\KS4050"
"51","KS4051","51\KS4051"
"51","KS4052","51\KS4052"
"51","KS4053","51\KS4053"
"51","KS4054","51\KS4054"
"51","KS4055","51\KS4055"
"51","KS4056","51\KS4056"
"51","KS4057","51\KS4057"
"51","KS4058","51\KS4058"
"51","KS4059","51\KS4059"
"51","KS4060","51\KS4060"
"51","KS4061","51\KS4061"
"51","KS4062","51\KS4062"
"51","KS4063","51\KS4063"
"51","KS4064","51\KS4064"
"51","KS4065","51\KS4065"
"51","KS4066","51\KS4066"
"51","KS4067","51\KS4067"
"51","KS4068","51\KS4068"
"51","KS4069","51\KS4069"
"51","KS4070","51\KS4070"
"51","KS4071","51\KS4071"
"51","KS4072","51\KS4072"
"51","KS4073","51\KS4073"
"51","KS4074","51\KS4074"
"51","KS4075","51\KS4075"
"51","KS4076","51\KS4076"
"51","KS4077","51\KS4077"
"51","KS4081","51\KS4081"
"51","KS4085","51\KS4085"
"51","KS4087","51\KS4087"
"51","KS4088","51\KS4088"
"51","KS4090","51\KS4090"
"51","KS5001","51\KS5001"
"51","KS5002","51\KS5002"
"51","KS5003","51\KS5003"
"51","KS5004","51\KS5004"
"52","K2JM","52\K2JM"
"52","K2LA","52\K2LA"
"52","K2MX","52\K2MX"
"52","K2QC","52\K2QC"
"52","K2RT","52\K2RT"
"53","K3JM","53\K3JM"
"53","K3LA","53\K3LA"
"53","K3MX","53\K3MX"
"53","K3QC","53\K3QC"
"53","K3RT","53\K3RT"
"54","K4JM","54\K4JM"
"54","K4LA","54\K4LA"
"54","K4MX","54\K4MX"
"54","K4QC","54\K4QC"
"54","K4RT","54\K4RT"
"55","K5JM","55\K5JM"
"55","K5LA","55\K5LA"
"55","K5MX","55\K5MX"
"55","K5QC","55\K5QC"
"55","K5RT","55\K5RT"
